Card#,Version,Qty,Needed,Cardback,Discussion,Attraction Name,Short Description,Category A,Category B,New,@icon1,@icon2,@Image,@fact_bg,@centre_image,@check_box
11,1,1,1,location,,Parliament Square Gardens,Statues of world leaders facing Parliament,Historic Landmarks,Parks & Gardens,Existing,category_landmark.png,category_parks.png,london_parliament_square_gardens.png,fact_bg.png,,check_box.png
12,1,1,1,location,,Highgate Cemetery,Victorian gothic necropolis — Karl Marx rests here,Historic Landmarks,Parks & Gardens,Existing,category_landmark.png,category_parks.png,london_highgate_cemetery.png,fact_bg.png,,check_box.png
13,1,1,1,location,,Tower Bridge Walkway,Glass-floor walkway 42 metres above the Thames,Historic Landmarks,River & Water,Existing,category_landmark.png,category_river.png,london_tower_bridge_walkway.png,fact_bg.png,,check_box.png
14,1,1,1,location,,Thames Path Somerset House,Riverside walk past elegant 18th-century palace,Historic Landmarks,River & Water,Existing,category_landmark.png,category_river.png,london_thames_path_somerset_house.png,fact_bg.png,,check_box.png
15,1,1,1,location,,Dennis Severs' House,18th-century time capsule in Spitalfields,Historic Landmarks,River & Water,Existing,category_landmark.png,category_river.png,london_dennis_severs'_house.png,fact_bg.png,,check_box.png
16,1,1,1,location,,National Gallery Café,Fine dining beneath Trafalgar Square masterpieces,Museums & Galleries,Food & Dining,Existing,category_gallery.png,category_food.png,london_national_gallery_café.png,fact_bg.png,,check_box.png
17,1,1,1,location,,Dishoom Shoreditch,Bombay-style café in a former railway goods yard,Museums & Galleries,Food & Dining,Existing,category_gallery.png,category_food.png,london_dishoom_shoreditch.png,fact_bg.png,,check_box.png
18,1,1,1,location,,God's Own Junkyard,Blazing neon art wonderland in Walthamstow,Museums & Galleries,Food & Dining,Existing,category_gallery.png,category_food.png,london_god's_own_junkyard.png,fact_bg.png,,check_box.png
19,1,1,1,location,,Camden Lock Museum,Eclectic market meets art installations by the canal,Museums & Galleries,Markets,Existing,category_gallery.png,category_markets.png,london_camden_lock_museum.png,fact_bg.png,,check_box.png
20,1,1,1,location,,Old Spitalfields Market,Victorian market hall hosting art and antique fairs,Museums & Galleries,Markets,Existing,category_gallery.png,category_markets.png,london_old_spitalfields_market.png,fact_bg.png,,check_box.png
21,1,1,1,location,,South Kensington,Museum mile with three world-class institutions,Museums & Galleries,Neighbourhoods,Existing,category_gallery.png,category_neighbourhood.png,london_south_kensington.png,fact_bg.png,,check_box.png
22,1,1,1,location,,Bloomsbury,Literary district home to the British Museum,Museums & Galleries,Neighbourhoods,Existing,category_gallery.png,category_neighbourhood.png,london_bloomsbury.png,fact_bg.png,,check_box.png
23,1,1,1,location,,Leake Street Arches,Legal graffiti tunnel — the walls change daily,Museums & Galleries,Neighbourhoods,Existing,category_gallery.png,category_neighbourhood.png,london_leake_street_arches.png,fact_bg.png,,check_box.png
24,1,1,1,location,,British Museum Great Court,Two million years of history under a glass roof,Museums & Galleries,Parks & Gardens,Existing,category_gallery.png,category_parks.png,london_british_museum_great_court.png,fact_bg.png,,check_box.png
25,1,1,1,location,,V&A Garden Courtyard,Tranquil courtyard oasis in the design museum,Museums & Galleries,Parks & Gardens,Existing,category_gallery.png,category_parks.png,london_v&a_garden_courtyard.png,fact_bg.png,,check_box.png
26,1,1,1,location,,Tate Modern Bankside,Power station turned the world's favourite gallery,Museums & Galleries,River & Water,Existing,category_gallery.png,category_river.png,london_tate_modern_bankside.png,fact_bg.png,,check_box.png
27,1,1,1,location,,Butler's Wharf,Converted Victorian wharves housing design museums,Museums & Galleries,River & Water,Existing,category_gallery.png,category_river.png,london_butler's_wharf.png,fact_bg.png,,check_box.png
28,1,1,1,location,,Windsor Castle Tea Room,Afternoon tea in the world's oldest occupied castle,Royal Palaces,Food & Dining,Existing,category_royal_palace.png,category_food.png,london_windsor_castle_tea_room.png,fact_bg.png,,check_box.png
29,1,1,1,location,,The Orangery,Elegant afternoon tea in Kensington Palace gardens,Royal Palaces,Food & Dining,Existing,category_royal_palace.png,category_food.png,london_the_orangery.png,fact_bg.png,,check_box.png
30,1,1,1,location,,The Churchill Arms,Kensington pub draped in flowers and Thai food,Royal Palaces,Food & Dining,Existing,category_royal_palace.png,category_food.png,london_the_churchill_arms.png,fact_bg.png,,check_box.png
31,1,1,1,location,,Tower of London Market,Medieval fortress hosting weekend artisan markets,Royal Palaces,Markets,Existing,category_royal_palace.png,category_markets.png,london_tower_of_london_market.png,fact_bg.png,,check_box.png
32,1,1,1,location,,Borough Market at the Shard,"1,000-year-old market in a skyscraper's shadow",Royal Palaces,Markets,Existing,category_royal_palace.png,category_markets.png,london_borough_market_at_the_shard.png,fact_bg.png,,check_box.png
33,1,1,1,location,,Hampton Court Village,Tudor village surrounding Henry VIII's palace,Royal Palaces,Neighbourhoods,Existing,category_royal_palace.png,category_neighbourhood.png,london_hampton_court_village.png,fact_bg.png,,check_box.png
34,1,1,1,location,,Kensington High Street,Upscale shopping near Kensington Palace,Royal Palaces,Neighbourhoods,Existing,category_royal_palace.png,category_neighbourhood.png,london_kensington_high_street.png,fact_bg.png,,check_box.png
35,1,1,1,location,,Buckingham Palace Gardens,39 acres of private gardens behind the Palace,Royal Palaces,Parks & Gardens,Existing,category_royal_palace.png,category_parks.png,london_buckingham_palace_gardens.png,fact_bg.png,,check_box.png
36,1,1,1,location,,St James's Park,Royal park with pelicans and Palace views,Royal Palaces,Parks & Gardens,Existing,category_royal_palace.png,category_parks.png,london_st_james's_park.png,fact_bg.png,,check_box.png
37,1,1,1,location,,Little Venice Narrowboats,Colourful canal boats at a pretty waterway junction,Royal Palaces,Parks & Gardens,Existing,category_royal_palace.png,category_parks.png,london_little_venice_narrowboats.png,fact_bg.png,,check_box.png
38,1,1,1,location,,Thames Royal Pageant Route,Royal river route past towers and palaces,Royal Palaces,River & Water,Existing,category_royal_palace.png,category_river.png,london_thames_royal_pageant_route.png,fact_bg.png,,check_box.png
39,1,1,1,location,,Greenwich Observatory,Where time begins — home of the Prime Meridian,Royal Palaces,River & Water,Existing,category_royal_palace.png,category_river.png,london_greenwich_observatory.png,fact_bg.png,,check_box.png
40,1,1,1,location,,Royal Albert Hall,Victorian concert hall hosting 390 shows a year,Theatres & Entertainment,Food & Dining,Existing,category_theatre.png,category_food.png,london_royal_albert_hall.png,fact_bg.png,,check_box.png
41,1,1,1,location,,Ronnie Scott's Jazz Club,Legendary Soho jazz club since 1959,Theatres & Entertainment,Food & Dining,Existing,category_theatre.png,category_food.png,london_ronnie_scott's_jazz_club.png,fact_bg.png,,check_box.png
42,1,1,1,location,,The Shard's Toilets,London's highest loo — a view worth queueing for,Theatres & Entertainment,Food & Dining,Existing,category_theatre.png,category_food.png,london_the_shard's_toilets.png,fact_bg.png,,check_box.png
43,1,1,1,location,,Shakespeare's Globe Shop,Tudor theatre with riverside gift market,Theatres & Entertainment,Markets,Existing,category_theatre.png,category_markets.png,london_shakespeare's_globe_shop.png,fact_bg.png,,check_box.png
44,1,1,1,location,,Brixton Market Venues,Vibrant market with live music and comedy clubs,Theatres & Entertainment,Markets,Existing,category_theatre.png,category_markets.png,london_brixton_market_venues.png,fact_bg.png,,check_box.png
45,1,1,1,location,,West End Theatreland,World's greatest concentration of theatres,Theatres & Entertainment,Neighbourhoods,Existing,category_theatre.png,category_neighbourhood.png,london_west_end_theatreland.png,fact_bg.png,,check_box.png
46,1,1,1,location,,Shoreditch Entertainment,"Trendy bars, comedy, and live music after dark",Theatres & Entertainment,Neighbourhoods,Existing,category_theatre.png,category_neighbourhood.png,london_shoreditch_entertainment.png,fact_bg.png,,check_box.png
47,1,1,1,location,,Regent's Park Theatre,Open-air Shakespeare under the summer stars,Theatres & Entertainment,Parks & Gardens,Existing,category_theatre.png,category_parks.png,london_regent's_park_theatre.png,fact_bg.png,,check_box.png
48,1,1,1,location,,Holland Park Opera,Opera in a romantic woodland setting,Theatres & Entertainment,Parks & Gardens,Existing,category_theatre.png,category_parks.png,london_holland_park_opera.png,fact_bg.png,,check_box.png
49,1,1,1,location,,National Theatre Terrace,Brutalist icon with free foyer performances,Theatres & Entertainment,River & Water,Existing,category_theatre.png,category_river.png,london_national_theatre_terrace.png,fact_bg.png,,check_box.png
50,1,1,1,location,,Gabriel's Wharf,Creative riverside hub with street performances,Theatres & Entertainment,River & Water,Existing,category_theatre.png,category_river.png,london_gabriel's_wharf.png,fact_bg.png,,check_box.png
51,1,1,1,location,,Duck & Waffle,24-hour restaurant on the 40th floor,Viewpoints,Food & Dining,Existing,category_view.png,category_food.png,london_duck_&_waffle.png,fact_bg.png,,check_box.png
52,1,1,1,location,,Aqua Shard,Fine dining with floor-to-ceiling London panoramas,Viewpoints,Food & Dining,Existing,category_view.png,category_food.png,london_aqua_shard.png,fact_bg.png,,check_box.png
53,1,1,1,location,,The Shard Viewing Platform,Western Europe's tallest building — 72 floors up,Viewpoints,Markets,Existing,category_view.png,category_markets.png,london_the_shard_viewing_platform.png,fact_bg.png,,check_box.png
54,1,1,1,location,,Greenwich Market Vista,Bustling market with Canary Wharf tower views,Viewpoints,Markets,Existing,category_view.png,category_markets.png,london_greenwich_market_vista.png,fact_bg.png,,check_box.png
55,1,1,1,location,,Notting Hill Overlook,Pastel houses climbing London's most colourful hill,Viewpoints,Neighbourhoods,Existing,category_view.png,category_neighbourhood.png,london_notting_hill_overlook.png,fact_bg.png,,check_box.png
56,1,1,1,location,,Hampstead Heath,Wild hilltop heath with London's best skyline view,Viewpoints,Neighbourhoods,Existing,category_view.png,category_neighbourhood.png,london_hampstead_heath.png,fact_bg.png,,check_box.png
57,1,1,1,location,,Sky Garden Terraces,London's highest garden — free but book ahead,Viewpoints,Parks & Gardens,Existing,category_view.png,category_parks.png,london_sky_garden_terraces.png,fact_bg.png,,check_box.png
58,1,1,1,location,,Primrose Hill,The hilltop where all of London stretches before you,Viewpoints,Parks & Gardens,Existing,category_view.png,category_parks.png,london_primrose_hill.png,fact_bg.png,,check_box.png
59,1,1,1,location,,London Eye Experience,"30 minutes, 135 metres, 55 million visitors",Viewpoints,River & Water,Existing,category_view.png,category_river.png,london_london_eye_experience.png,fact_bg.png,,check_box.png
60,1,1,1,location,,Thames Cable Car,Aerial river crossing with docklands views for £4,Viewpoints,River & Water,Existing,category_view.png,category_river.png,london_thames_cable_car.png,fact_bg.png,,check_box.png
61,1,1,1,location,,Windsor Castle,The world's oldest and largest occupied castle,Royal Palaces,Wild,Existing,category_royal_palace.png,category_wild_right.png,london_windsor_castle.png,fact_bg.png,,check_box.png
62,1,1,1,location,,National Portrait Gallery,"Every famous British face, from Tudors to today",Museums & Galleries,Wild,Existing,category_gallery.png,category_wild_right.png,london_national_portrait_gallery.png,fact_bg.png,,check_box.png
63,1,1,1,location,,St Paul's Cathedral,Wren's masterpiece — 365 steps to the Golden Gallery,Historic Landmarks,Wild,Existing,category_landmark.png,category_wild_right.png,london_st_paul's_cathedral.png,fact_bg.png,,check_box.png
64,1,1,1,location,,Royal Opera House,World-class ballet and opera since 1732,Theatres & Entertainment,Wild,Existing,category_theatre.png,category_wild_right.png,london_royal_opera_house.png,fact_bg.png,,check_box.png
65,1,1,1,location,,The View from The Shard,72 floors up — on clear days you can see 40 miles,Viewpoints,Wild,Existing,category_view.png,category_wild_right.png,london_the_view_from_the_shard.png,fact_bg.png,,check_box.png
66,1,1,1,location,,Kew Gardens,"50,000 living plants in a UNESCO World Heritage site",Wild,Parks & Gardens,Existing,category_wild_left.png,category_parks.png,london_kew_gardens.png,fact_bg.png,,check_box.png
67,1,1,1,location,,Portobello Road Market,"World's largest antiques market, every Saturday",Wild,Markets,Existing,category_wild_left.png,category_markets.png,london_portobello_road_market.png,fact_bg.png,,check_box.png
68,1,1,1,location,,Soho,From bohemian to brilliant — London's beating heart,Wild,Neighbourhoods,Existing,category_wild_left.png,category_neighbourhood.png,london_soho.png,fact_bg.png,,check_box.png
69,1,1,1,location,,Westminster Pier,Gateway to the Thames — every river trip starts here,Wild,River & Water,Existing,category_wild_left.png,category_river.png,london_westminster_pier.png,fact_bg.png,,check_box.png
70,1,1,1,location,,St John Restaurant,Nose-to-tail dining that changed British food forever,Wild,Food & Dining,Existing,category_wild_left.png,category_food.png,london_st_john_restaurant.png,fact_bg.png,,check_box.png
71,1,1,1,location,,Rules Restaurant,"London's oldest restaurant, serving since 1798",Historic Landmarks,Food & Dining,NEW,category_landmark.png,category_food.png,london_rules_restaurant.png,fact_bg.png,,check_box.png
72,1,1,1,location,,Bunhill Fields,"Defoe, Blake, and Bunyan in a hidden city garden",Historic Landmarks,Parks & Gardens,NEW,category_landmark.png,category_parks.png,london_bunhill_fields.png,fact_bg.png,,check_box.png
73,1,1,1,location,,HMS Belfast,WWII warship museum moored on the Thames since 1971,Historic Landmarks,River & Water,NEW,category_landmark.png,category_river.png,london_hms_belfast.png,fact_bg.png,,check_box.png
74,1,1,1,location,,Bermondsey Antiques Market,Dawn dealers' market — bargains before breakfast,Museums & Galleries,Markets,NEW,category_gallery.png,category_markets.png,london_bermondsey_antiques_market.png,fact_bg.png,,check_box.png
75,1,1,1,location,,Maltby Street Market,Railway arch foodie haven with gallery pop-ups,Museums & Galleries,Markets,NEW,category_gallery.png,category_markets.png,london_maltby_street_market.png,fact_bg.png,,check_box.png
76,1,1,1,location,,Dulwich Picture Gallery,"England's first purpose-built public gallery, 1817",Museums & Galleries,Neighbourhoods,NEW,category_gallery.png,category_neighbourhood.png,london_dulwich_picture_gallery.png,fact_bg.png,,check_box.png
77,1,1,1,location,,Serpentine Gallery,Free contemporary art in the heart of Hyde Park,Museums & Galleries,Parks & Gardens,NEW,category_gallery.png,category_parks.png,london_serpentine_gallery.png,fact_bg.png,,check_box.png
78,1,1,1,location,,National Maritime Museum,"World's largest maritime museum, free to enter",Museums & Galleries,River & Water,NEW,category_gallery.png,category_river.png,london_national_maritime_museum.png,fact_bg.png,,check_box.png
79,1,1,1,location,,Battersea Power Station,Art deco icon reborn as shops and galleries,Museums & Galleries,River & Water,NEW,category_gallery.png,category_river.png,london_battersea_power_station.png,fact_bg.png,,check_box.png
80,1,1,1,location,,Regency Café,Classic greasy spoon with Grade II listed interior,Royal Palaces,Food & Dining,NEW,category_royal_palace.png,category_food.png,london_regency_café.png,fact_bg.png,,check_box.png
81,1,1,1,location,,Royal Exchange,"Former trading floor, now luxury shops and dining",Royal Palaces,Markets,NEW,category_royal_palace.png,category_markets.png,london_royal_exchange.png,fact_bg.png,,check_box.png
82,1,1,1,location,,Kensington Palace Orangery,Royal gifts and souvenirs in palace grounds,Royal Palaces,Markets,NEW,category_royal_palace.png,category_markets.png,london_kensington_palace_orangery.png,fact_bg.png,,check_box.png
83,1,1,1,location,,St James's,London's most regal neighbourhood since the 1660s,Royal Palaces,Neighbourhoods,NEW,category_royal_palace.png,category_neighbourhood.png,london_st_james's.png,fact_bg.png,,check_box.png
84,1,1,1,location,,Hampton Court Gardens,Henry VIII's maze — lost since 1690,Royal Palaces,Parks & Gardens,NEW,category_royal_palace.png,category_parks.png,london_hampton_court_gardens.png,fact_bg.png,,check_box.png
85,1,1,1,location,,Tower Wharf,Crown Jewels arrived here by barge for 900 years,Royal Palaces,River & Water,NEW,category_royal_palace.png,category_river.png,london_tower_wharf.png,fact_bg.png,,check_box.png
86,1,1,1,location,,Columbia Road Market,Sunday blooms and buskers in the East End,Theatres & Entertainment,Markets,NEW,category_theatre.png,category_markets.png,london_columbia_road_market.png,fact_bg.png,,check_box.png
87,1,1,1,location,,Camden Town,"Punk, rock, and rebellion on London's wildest street",Theatres & Entertainment,Neighbourhoods,NEW,category_theatre.png,category_neighbourhood.png,london_camden_town.png,fact_bg.png,,check_box.png
88,1,1,1,location,,Peckham,South London's creative hub with rooftop cinema,Theatres & Entertainment,Neighbourhoods,NEW,category_theatre.png,category_neighbourhood.png,london_peckham.png,fact_bg.png,,check_box.png
89,1,1,1,location,,Kew Palace Concerts,Summer music in the Royal Botanic Gardens,Theatres & Entertainment,Parks & Gardens,NEW,category_theatre.png,category_parks.png,london_kew_palace_concerts.png,fact_bg.png,,check_box.png
90,1,1,1,location,,Kenwood House Concerts,Lakeside concerts on Hampstead Heath since 1951,Theatres & Entertainment,Parks & Gardens,NEW,category_theatre.png,category_parks.png,london_kenwood_house_concerts.png,fact_bg.png,,check_box.png
91,1,1,1,location,,Floating Cinema,Films screened from a narrowboat on the canal,Theatres & Entertainment,River & Water,NEW,category_theatre.png,category_river.png,london_floating_cinema.png,fact_bg.png,,check_box.png
92,1,1,1,location,,Pub on the Park,Victoria Park comedy by the boating lake,Theatres & Entertainment,River & Water,NEW,category_theatre.png,category_river.png,london_pub_on_the_park.png,fact_bg.png,,check_box.png
93,1,1,1,location,,Searcys at the Gherkin,Champagne at the top of London's favourite pickle,Viewpoints,Food & Dining,NEW,category_view.png,category_food.png,london_searcys_at_the_gherkin.png,fact_bg.png,,check_box.png
94,1,1,1,location,,Madison Rooftop,Open-air terrace overlooking St Paul's dome,Viewpoints,Food & Dining,NEW,category_view.png,category_food.png,london_madison_rooftop.png,fact_bg.png,,check_box.png
95,1,1,1,location,,Skylight Tobacco Dock,Rooftop bar above a converted 19th-century warehouse,Viewpoints,Markets,NEW,category_view.png,category_markets.png,london_skylight_tobacco_dock.png,fact_bg.png,,check_box.png
96,1,1,1,location,,Netil360 Rooftop,Hackney rooftop with skyline views and vintage stalls,Viewpoints,Markets,NEW,category_view.png,category_markets.png,london_netil360_rooftop.png,fact_bg.png,,check_box.png
97,1,1,1,location,,Alexandra Palace,The People's Palace — panoramic views since 1873,Viewpoints,Neighbourhoods,NEW,category_view.png,category_neighbourhood.png,london_alexandra_palace.png,fact_bg.png,,check_box.png
98,1,1,1,location,,Stave Hill Ecology Park,Hidden hilltop with surprise Canary Wharf views,Viewpoints,Neighbourhoods,NEW,category_view.png,category_neighbourhood.png,london_stave_hill_ecology_park.png,fact_bg.png,,check_box.png
99,1,1,1,location,,Parliament Hill,Kite-flying summit with a protected city panorama,Viewpoints,Parks & Gardens,NEW,category_view.png,category_parks.png,london_parliament_hill.png,fact_bg.png,,check_box.png
100,1,1,1,location,,Waterloo Bridge,The finest bridge view in London — both directions,Viewpoints,River & Water,NEW,category_view.png,category_river.png,london_waterloo_bridge.png,fact_bg.png,,check_box.png
