Card#,Version,Qty,Needed,Cardback,Discussion,Attraction Name,Short Description,Category A,Category B,@icon1,@icon2,@Image,@fact_bg,@centre_image,@check_box
43,,1,1,,,Stonechat,Tiny colorful chat with black head and orange breast. Perches on gorse and heather.,Coastal & Marine,Berries & Fruit,category_coastal.png,category_berries.png,british_stonechat.png,fact_bg.png,,check_box.png
44,,1,1,,,Common Redstart,Beautiful male with grey back and orange-red breast. Migrants passing through coasts.,Coastal & Marine,Berries & Fruit,category_coastal.png,category_berries.png,british_common_redstart.png,fact_bg.png,,check_box.png
45,,1,1,,,Oystercatcher,Striking pied wading bird with long orange bill. Loud piping calls on rocky shores.,Coastal & Marine,Insects & Invertebrates,category_coastal.png,category_insects.png,british_oystercatcher.png,fact_bg.png,,check_box.png
46,,1,1,,,Ringed Plover,Small pale plover with bold black and white head pattern. Nests on shingle beaches.,Coastal & Marine,Insects & Invertebrates,category_coastal.png,category_insects.png,british_ringed_plover.png,fact_bg.png,,check_box.png
47,,1,1,,,Gannet,Brilliant white seabird with black wing tips and yellow head. Plunges spectacularly for fish.,Coastal & Marine,Fish & Aquatic Prey,category_coastal.png,category_fish.png,british_gannet.png,fact_bg.png,,check_box.png
48,,1,1,,,Arctic Tern,Elegant tern with grey and white plumage and red bill. Makes longest migration of any bird.,Coastal & Marine,Fish & Aquatic Prey,category_coastal.png,category_fish.png,british_arctic_tern.png,fact_bg.png,,check_box.png
49,,1,1,,,Herring Gull,Large white gull with grey back and yellow bill. Familiar sound of seaside resorts.,Coastal & Marine,Meat & Carrion,category_coastal.png,category_carnivore.png,british_herring_gull.png,fact_bg.png,,check_box.png
50,,1,1,,,Greater Black-backed Gull,Massive black-backed gull that takes small birds and rabbits. Largest gull in Britain.,Coastal & Marine,Meat & Carrion,category_coastal.png,category_carnivore.png,british_greater_black_backed_gull.png,fact_bg.png,,check_box.png
51,,1,1,,,Ring-necked Parakeet,Emerald green parrot with ring marking. Now established in London parks escaped from captivity.,Garden & Urban,WILD,category_garden.png,category_diet_wild.png,british_ring_necked_parakeet.png,fact_bg.png,,check_box.png
52,,1,1,,,Green Woodpecker,Large green woodpecker with loud laughing call. Eats ants from ground and tree bark.,Woodland,WILD,category_woodland.png,category_diet_wild.png,british_green_woodpecker.png,fact_bg.png,,check_box.png
53,,1,1,,,Curlew,Large wading bird with long decurved bill and haunting call. Declining symbol of wildness.,Farmland & Grassland,WILD,category_farmland.png,category_diet_wild.png,british_curlew.png,fact_bg.png,,check_box.png
54,,1,1,,,Bittern,Secretive reed bed specialist famous for booming call at night. Once nearly extinct in Britain.,Wetlands & Waterways,WILD,category_wetlands.png,category_diet_wild.png,british_bittern.png,fact_bg.png,,check_box.png
55,,1,1,,,Puffin,Adorable seabird with colourful bill and round face. Britain's most beloved seabird icon.,Coastal & Marine,WILD,category_coastal.png,category_diet_wild.png,british_puffin.png,fact_bg.png,,check_box.png
56,,1,1,,,Goldfinch,Beautiful finch with red face and striking black and gold wings. Visits teasel and thistle seedheads.,WILD,Seeds & Grain,category_habitat_wild.png,category_seeds.png,british_goldfinch.png,fact_bg.png,,check_box.png
57,,1,1,,,Waxwing,Exotic looking starling-sized bird with crest. Winter visitor when berry crops fail in northern forests.,WILD,Berries & Fruit,category_habitat_wild.png,category_berries.png,british_waxwing.png,fact_bg.png,,check_box.png
58,,1,1,,,Swallow,Elegant blue-black swallow with red face. Summer visitor skimming insects from air and water.,WILD,Insects & Invertebrates,category_habitat_wild.png,category_insects.png,british_swallow.png,fact_bg.png,,check_box.png
59,,1,1,,,Osprey,Spectacular fish-eating raptor with white underparts and bold eye stripe. Makes dramatic plunge dives.,WILD,Fish & Aquatic Prey,category_habitat_wild.png,category_fish.png,british_osprey.png,fact_bg.png,,check_box.png
60,,1,1,,,Red Kite,Impressive reddish-brown raptor with forked tail. Britain's greatest conservation success story.,WILD,Meat & Carrion,category_habitat_wild.png,category_carnivore.png,british_red_kite.png,fact_bg.png,,check_box.png
61,,1,1,,,Great Tit,Striking bird with black and white head and white cheeks. Loud clear song and acrobatic feeder.,Garden & Urban,Insects & Invertebrates,category_garden.png,category_insects.png,british_great_tit.png,fact_bg.png,,check_box.png
62,,1,1,,,Long-tailed Tit,Tiny fluffy ball with very long tail. Visits gardens in small chattering flocks in winter.,Garden & Urban,Berries & Fruit,category_garden.png,category_berries.png,british_long_tailed_tit.png,fact_bg.png,,check_box.png
63,,1,1,,,Dunnock,Shy brownish bird with blue-grey head. Hunts insects under hedges and shrubs.,Garden & Urban,Insects & Invertebrates,category_garden.png,category_insects.png,british_dunnock.png,fact_bg.png,,check_box.png
64,,1,1,,,House Martin,White-rumped swallow that builds mud nests under eaves. Aerial insect hunter.,Garden & Urban,Insects & Invertebrates,category_garden.png,category_insects.png,british_house_martin.png,fact_bg.png,,check_box.png
65,,1,1,,,Feral Pigeon,Descendant of Rock Doves now living in cities everywhere. Comes in wild blue or pied colors.,Garden & Urban,Seeds & Grain,category_garden.png,category_seeds.png,british_feral_pigeon.png,fact_bg.png,,check_box.png
66,,1,1,,,Swift,Screaming fast swallow that catches insects high in air. Never lands except at nest.,Garden & Urban,Insects & Invertebrates,category_garden.png,category_insects.png,british_swift.png,fact_bg.png,,check_box.png
67,,1,1,,,Jackdaw,Small crow with pale nape and eye. Forms flocks and nests in colonies on cliffs and buildings.,Garden & Urban,Meat & Carrion,category_garden.png,category_carnivore.png,british_jackdaw.png,fact_bg.png,,check_box.png
68,,1,1,,,Carrion Crow,All-black crow that hunts alone or in pairs. Less social than Rooks but very intelligent.,Garden & Urban,Meat & Carrion,category_garden.png,category_carnivore.png,british_carrion_crow.png,fact_bg.png,,check_box.png
69,,1,1,,,Nuthatch,Acrobatic blue-grey bird that walks headfirst down trees. Wedges seeds in bark crevices.,Woodland,Seeds & Grain,category_woodland.png,category_seeds.png,british_nuthatch.png,fact_bg.png,,check_box.png
70,,1,1,,,Coal Tit,Small tit with distinctive black head and two white neck patches. Hides seeds throughout woodland.,Woodland,Seeds & Grain,category_woodland.png,category_seeds.png,british_coal_tit.png,fact_bg.png,,check_box.png
71,,1,1,,,Siskin,Small elegant finch with yellow and black markings. Acrobatic feeder on alder and birch seeds.,Woodland,Seeds & Grain,category_woodland.png,category_seeds.png,british_siskin.png,fact_bg.png,,check_box.png
72,,1,1,,,Crossbill,Unique finch with crossed bill for extracting conifer seeds. Nomadic following seed crops.,Woodland,Seeds & Grain,category_woodland.png,category_seeds.png,british_crossbill.png,fact_bg.png,,check_box.png
73,,1,1,,,Treecreeper,Tiny brown bird that spirals up tree trunks hunting insects in bark. Elusive and hard to spot.,Woodland,Insects & Invertebrates,category_woodland.png,category_insects.png,british_treecreeper.png,fact_bg.png,,check_box.png
74,,1,1,,,Willow Warbler,Tiny olive-green warbler that migrates through Britain in spring and autumn. Fluty song.,Woodland,Berries & Fruit,category_woodland.png,category_berries.png,british_willow_warbler.png,fact_bg.png,,check_box.png
75,,1,1,,,Chiffchaff,Small warbler with name reflected in song. First returning migrant herald of spring.,Woodland,Berries & Fruit,category_woodland.png,category_berries.png,british_chiffchaff.png,fact_bg.png,,check_box.png
76,,1,1,,,Nightingale,Legendary singer hidden in dense cover. One of finest songsters but rarely seen.,Woodland,Berries & Fruit,category_woodland.png,category_berries.png,british_nightingale.png,fact_bg.png,,check_box.png
77,,1,1,,,Blackcap,Small grey warbler with black cap in males. Beautiful flute-like song in spring.,Woodland,Berries & Fruit,category_woodland.png,category_berries.png,british_blackcap.png,fact_bg.png,,check_box.png
78,,1,1,,,Pied Flycatcher,Smart black and white warbler that hunts insects in the air. Summer visitor to woodlands.,Woodland,Berries & Fruit,category_woodland.png,category_berries.png,british_pied_flycatcher.png,fact_bg.png,,check_box.png
79,,1,1,,,Pheasant,Colorful game bird with long tail. Male iridescent with red face markings.,Farmland & Grassland,Meat & Carrion,category_farmland.png,category_carnivore.png,british_pheasant.png,fact_bg.png,,check_box.png
80,,1,1,,,Grey Partridge,Plump game bird of grassland and cereal crops. Declining due to modern farming practices.,Farmland & Grassland,Meat & Carrion,category_farmland.png,category_carnivore.png,british_grey_partridge.png,fact_bg.png,,check_box.png
81,,1,1,,,Red Grouse,Deep red-brown grouse that lives on upland heather moors. Famous for driving out of cover.,Farmland & Grassland,Seeds & Grain,category_farmland.png,category_seeds.png,british_red_grouse.png,fact_bg.png,,check_box.png
82,,1,1,,,Pied Wagtail,Elegant black and white wagtail with constant tail-bobbing. Hunts insects over water.,Farmland & Grassland,Fish & Aquatic Prey,category_farmland.png,category_fish.png,british_pied_wagtail.png,fact_bg.png,,check_box.png
83,,1,1,,,Rook,Black crow with bare white face patch and shaggy leg feathers. Nests in colonies called rookeries.,Farmland & Grassland,Insects & Invertebrates,category_farmland.png,category_insects.png,british_rook.png,fact_bg.png,,check_box.png
84,,1,1,,,Golden Plover,Golden-speckled plover of upland grassland. Forms huge winter flocks with other plovers.,Farmland & Grassland,Insects & Invertebrates,category_farmland.png,category_insects.png,british_golden_plover.png,fact_bg.png,,check_box.png
85,,1,1,,,Kestrel,Smallest falcon that hovers above fields hunting voles. Rufous back and long black tail.,Farmland & Grassland,Meat & Carrion,category_farmland.png,category_carnivore.png,british_kestrel.png,fact_bg.png,,check_box.png
86,,1,1,,,Short-eared Owl,Long-winged owl that hunts low over open ground in daylight. Yellow eyes and fierce expression.,Farmland & Grassland,Meat & Carrion,category_farmland.png,category_carnivore.png,british_short_eared_owl.png,fact_bg.png,,check_box.png
87,,1,1,,,Coot,Black water bird with distinctive white frontal shield on face. Aggressive territorial bird.,Wetlands & Waterways,Berries & Fruit,category_wetlands.png,category_berries.png,british_coot.png,fact_bg.png,,check_box.png
88,,1,1,,,Wigeon,Smart diving duck with chestnut head and cream forehead in males. Grazes on aquatic plants.,Wetlands & Waterways,Berries & Fruit,category_wetlands.png,category_berries.png,british_wigeon.png,fact_bg.png,,check_box.png
89,,1,1,,,Teal,Tiny dabbling duck with green head and cream breast in males. Commonest small duck.,Wetlands & Waterways,Fish & Aquatic Prey,category_wetlands.png,category_fish.png,british_teal.png,fact_bg.png,,check_box.png
90,,1,1,,,Bearded Tit,Striking reed bed specialist with long tail and black moustache in males. Beautiful orange plumage.,Wetlands & Waterways,Seeds & Grain,category_wetlands.png,category_seeds.png,british_bearded_tit.png,fact_bg.png,,check_box.png
91,,1,1,,,Water Rail,Secretive slate-blue rail that hides in reeds. Loud grunting calls betray its presence.,Wetlands & Waterways,Fish & Aquatic Prey,category_wetlands.png,category_fish.png,british_water_rail.png,fact_bg.png,,check_box.png
92,,1,1,,,Snipe,Camouflaged wading bird with long bill that probes for worms in mud. Zig-zag escape flight.,Wetlands & Waterways,Fish & Aquatic Prey,category_wetlands.png,category_fish.png,british_snipe.png,fact_bg.png,,check_box.png
93,,1,1,,,Tufted Duck,Black and white duck with distinctive tuft at back of head. Male glossy black white-sided.,Wetlands & Waterways,Fish & Aquatic Prey,category_wetlands.png,category_fish.png,british_tufted_duck.png,fact_bg.png,,check_box.png
94,,1,1,,,Greylag Goose,Large grey-brown goose ancestor of domestic geese. Loud honking calls and strong fliers.,Wetlands & Waterways,Seeds & Grain,category_wetlands.png,category_seeds.png,british_greylag_goose.png,fact_bg.png,,check_box.png
95,,1,1,,,Guillemot,Black and white auk with long thin bill. Nests in huge colonies on sea cliffs.,Coastal & Marine,Fish & Aquatic Prey,category_coastal.png,category_fish.png,british_guillemot.png,fact_bg.png,,check_box.png
96,,1,1,,,Razorbill,Dumpy auk with short thick bill with white line. Takes flying fish with impressive diving.,Coastal & Marine,Fish & Aquatic Prey,category_coastal.png,category_fish.png,british_razorbill.png,fact_bg.png,,check_box.png
97,,1,1,,,White-tailed Eagle,Massive golden eagle reintroduced to Scotland. Hunts fish from lochs with awesome power.,Coastal & Marine,Fish & Aquatic Prey,category_coastal.png,category_fish.png,british_white_tailed_eagle.png,fact_bg.png,,check_box.png
98,,1,1,,,Merlin,Tiny fierce falcon that hunts small birds at speed. Male slate-blue female brown.,Coastal & Marine,Meat & Carrion,category_coastal.png,category_carnivore.png,british_merlin.png,fact_bg.png,,check_box.png
99,,1,1,,,Golden Eagle,Majestic mountain eagle with golden crown. Rarest and most powerful British raptor.,Coastal & Marine,Meat & Carrion,category_coastal.png,category_carnivore.png,british_golden_eagle.png,fact_bg.png,,check_box.png
100,,1,1,,,Chough,Glossy black crow with red legs and bill. Rare bird of rocky cliffs in West Wales.,Coastal & Marine,Insects & Invertebrates,category_coastal.png,category_insects.png,british_chough.png,fact_bg.png,,check_box.png
